JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
SESI,JAM,SENIN,,,,,,,,,,,
,,Interaksi Manusia Komputer,Pemrograman Dasar,Administrasi Basis Data,Routing dan Keamanan Jaringan,,Pengembangan Desain Web,Pemrograman Internet of Things,,,Algoritma dan Struktur Data,,Deployment Perangkat Lunak
,,Dosen : RG/AG/WS,Dosen : HS,Dosen : AK,Dosen : EP,,Dosen : AS,Dosen : CD/WS,,,Dosen : HQ,,Dosen : DP
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,TI203 ( B ),TI204 ( C ),TI403 ( B ),,TI401 ( C ),TIPR05 ( A ),,,TI202 ( F ),,TI603 ( A )
,,,Pemrograman Dasar,Administrasi Basis Data,Routing dan Keamanan Jaringan,,Pengembangan Desain Web,Pemrograman Internet of Things,,,Algoritma dan Struktur Data,,Deployment Perangkat Lunak
,,,Dosen : HS,Dosen : AK,Dosen : EP,,Dosen : AS,Dosen : CD/WS,,,Dosen : HQ,,Dosen : DP
,16.20 - 17.10,"TI604 ( C, D, E )",TI203 ( C ),TI204 ( A ),,,,,,,,TI403 ( F ),
,,Metode Penelitian,Pemrograman Dasar,Administrasi Basis Data,,,,,,,,Routing dan Keamanan Jaringan,
,,Dosen : SR,Dosen : HS,Dosen : AK,,,,,,,,Dosen : EP,
,17.10 - 18.00,"TI604 ( C, D, E )",TI203 ( C ),TI204 ( A ),,,,,,,,TI403 ( F ),
,,Metode Penelitian,Pemrograman Dasar,Administrasi Basis Data,,,,,,,,Routing dan Keamanan Jaringan,
,,Dosen : SR,Dosen : HS,Dosen : AK,,,,,,,,Dosen : EP,
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,TI203 ( C ),TI204 ( A ),,,,,,,,TI403 ( F ),
,,,Pemrograman Dasar,Administrasi Basis Data,,,,,,,,Routing dan Keamanan Jaringan,
,,,Dosen : HS,Dosen : AK,,,,,,,,Dosen : EP,
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SESI,JAM,RABU,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,"TI209 ( C, D )","TI209 ( A, B )",,,,,,,,,,
,,Praktik Profesional,Praktik Profesional,,,,,,,,,,
,,Dosen : CO,Dosen : CO,,,,,,,,,,
,07.50 - 08.40,"TI209 ( C, D )","TI209 ( A, B )",,,,,,,,,,
,,Praktik Profesional,Praktik Profesional,,,,,,,,,,
,,Dosen : CO,Dosen : CO,,,,,,,,,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,TI406 ( D ),,TIUX03 ( B ),TI204 ( B ),,,TI404 ( B ),,,TI603 ( E ),TI403 ( A ),TIDA02 ( B )
,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,Aplikasi Multimedia,Administrasi Basis Data,,,Keamanan Siber,,,Deployment Perangkat Lunak,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,Dosen : CO,,Dosen : RG,Dosen : AK,,,Dosen : CD,,,Dosen : DP,Dosen : EP,Dosen : AG
,09.40 - 10.30,TI406 ( D ),,TIUX03 ( B ),TI204 ( B ),,,TI404 ( B ),TI208 ( C ),,TI603 ( E ),TI403 ( A ),TIDA02 ( B )
,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,Aplikasi Multimedia,Administrasi Basis Data,,,Keamanan Siber,Bahasa Inggris Menengah,,Deployment Perangkat Lunak,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,Dosen : CO,,Dosen : RG,Dosen : AK,,,Dosen : CD,Dosen : TIM,,Dosen : DP,Dosen : EP,Dosen : AG
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,TI406 ( D ),,TIUX03 ( B ),TI204 ( B ),,,TI404 ( B ),TI208 ( C ),,TI603 ( E ),TI403 ( A ),TIDA02 ( B )
,,Pengujian dan Penjaminan Mutu Perangkat Lunak,,Aplikasi Multimedia,Administrasi Basis Data,,,Keamanan Siber,Bahasa Inggris Menengah,,Deployment Perangkat Lunak,Routing dan Keamanan Jaringan,Kecerdasan Buatan Terapan
,,Dosen : CO,,Dosen : RG,Dosen : AK,,,Dosen : CD,Dosen : TIM,,Dosen : DP,Dosen : EP,Dosen : AG
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,,TI205 ( B ),TIUX03 ( A ),,,TI401 ( A ),TI404 ( F ),TW,,TIDA05 ( A ),TI403 ( D ),TI204 ( E )
,,,Dasar Jaringan,Aplikasi Multimedia,,,Pengembangan Desain Web,Keamanan Siber,,,P. Pusat Data,Routing dan Keamanan Jaringan,Administrasi Basis Data
,,,Dosen: NA,Dosen : RG,,,Dosen : AS,Dosen : CD,,,Dosen : DP,Dosen : EP,Dosen : AK
